tax_class|zip_code|sale_price|year_of_sale
4|11201|4057464695|2011
4|11234|739025703|2009
4|11249|1014224372|2014
4|11241|0|2015
2|11211|4358964423|2009
4|11205|585275500|2010
4|11217|964950855|2009
2|11201|9275428379|2010
4|11236|320761967|2007
4|11222|1176975016|2010
1B|11249|5896610|2013
2|11222|1058249737|2011
2|11212|792595526|2009
4|11235|680811104|2010
2|11249|2166507390|2014
4|11232|841199324|2009
""|11201|292845148|0
2|11233|757759986|2010
4|11215|1615185608|2009
4|11211|1571888623|2010
2|11218|1003532917|2009
2|11231|850897846|2009
4|11231|1220347672|2009
4|11206|1704782225|2010
2|11205|682663088|2009
2|11224|503318995|2010
4|11229|384118437|2010
2A|11211|70376952|2009
2|0|3192505320|2003
2|11238|132609422|2010
1B|11222|139671019|2010
2|11236|2400951779|2008
2|11226|297268138|2009
2|11221|342487985|2010
4|11212|2003921503|2009
2|11217|762453486|2009
2|11216|603073533|2010
4|11220|1010669755|2010
2|11206|478496415|2009
4|11226|361853913|2010
4|11224|2996974352|2009
2|11235|585241276|2009
4|11237|261299095|2009
