tax_class|zip_code|sale_price|year_of_sale
4|11223|244446202|2010
2|11219|41177291|2008
2|11208|323413726|2010
4|11203|108996276|2009
2B|11223|329734027|2008
4|11209|118155131|2009
2A|11230|3052790579|2009
2B|11211|31079478|2008
2|11228|47010470|2009
1|11223|541735854|2009
1B|11215|167221792|2009
""|11235|54766305|0
1B|11226|197710926|2011
""|11206|319563939|0
2A|11216|206369295|2009
1|11249|330798436|2014
1B|11205|188975874|2009
2B|11217|802615422|2009
2|11207|33268426|2009
""|11231|346013019|0
2B|11205|2050829150|2009
2A|11206|269412514|2008
4|11210|578571201|2009
2A|11237|1915915615|2008
1B|11224|350695796|2008
2A|11201|83920749|2009
1|11210|3648216771|2009
2B|11222|92840406|2009
2|11220|80788980|2010
1|11216|184238757|2009
2B|11201|1660882377|2009
1B|11223|370806029|2009
1|11221|115019469|2009
1B|11221|395727318|2010
1B|11219|289804621|2010
2B|11233|682048440|2009
1|11231|2227405843|2009
""|11222|43835723|0
2A|11217|395432871|2009
2B|11213|435972585|2009
""|11215|2813696242|0
2|11204|49340747|2009
2B|11221|105685218|2009
