tax_class|zip_code|sale_price|year_of_sale
1A|11211|72146640|2007
1A|11218|55984189|2008
1B|11234|452413021|2009
""|11239|780000|0
2B|11227|30463155|2014
1A|11209|99207633|2008
2C|11232|21921272|2010
2C|11221|2115992|2013
1C|11233|34790100|2012
1A|11249|10197396|2014
1A|11219|7463312|2009
2A|11236|4715572|2009
2C|11229|4681462|2012
1B|11228|3074920|2010
""|11226|2980588|0
1A|11230|3951600|2008
1A|11216|5034434|2012
""|11225|2991000|0
2C|11214|785040|2010
""|11213|1298992|0
""|11224|8549966|0
1B|11232|10904426|2008
2B|11224|467000|2007
1A|11206|11484976|2007
1C|11206|5612859|2012
2C|11209|4747825|2008
2C|11210|610000|2010
1C|11225|1202500|2015
""|11203|1361831|0
1C|11218|160298|2012
2C|11230|135000|2013
2C|11233|122000|2011
2C|11204|95000|2011
1C|11230|70000|2010
1A|11207|83|2012
1C|11213|1|2014
1A|11228|0|2009
1A|11224|0|2010
1C|11203|0|2008
1A|11223|0|2010
1A|11229|0|2008
1A|11214|0|2010
2B|11236|0|2007
2C|11228|0|2010
1A|11234|0|2009
2C|11223|70000|2011
1A|11221|656771|2013
1A|11220|435000|2006
