tax_class|zip_code|sale_price|year_of_sale
4|11243|17817869|2010
1A|11201|56657962|2009
1|11232|22062391|2009
2B|11235|26778228|2009
""|11219|2820020|0
2A|11225|125434439|2009
2B|11234|14351975|2012
""|11220|6861447|0
2B|11204|26777812|2009
1B|0|48698143|2014
2A|11228|34716554|2009
1B|11220|154211612|2010
2C|11219|15642010|2011
2A|11203|1200000|2008
1B|11201|141597706|2009
1A|11231|83413009|2009
1|11203|47904798|2008
1B|11236|4254785|2009
1A|11204|11656260|2009
1B|11212|222151477|2010
1B|11214|34848171|2011
1A|11205|19542599|2010
2C|11220|5947750|2010
1A|11215|16451168|2009
1|11212|18470149|2008
1B|11210|57774534|2009
1C|11221|2425155|2015
1B|11233|15284500|2009
1C|11219|10485250|2010
1C|11204|25181062|2011
2C|11218|42592960|2010
2C|11213|4351879|2012
1C|11216|925000|2013
2C|11225|14990879|2011
1C|11211|18711824|2008
1A|11217|40645206|2010
1C|11249|46081793|2015
2C|11235|8262744|2011
2A|11234|5109816|2008
""|11233|1597634|0
1B|11209|106032811|2010
2A|11210|14341941|2009
2C|11237|6504694|2011
