tax_class|zip_code|sale_price|year_of_sale
2C|11211|70561480|2010
1|11219|65627866|2009
4|11239|26142344|2011
2C|11215|1715372286|2010
1|11206|108804180|2008
2A|11220|2792193511|2009
2B|11225|29657750|2010
2C|11205|475435285|2010
""|11234|0|0
1|11214|58041010|2009
""|11218|1227739561|0
1|11209|637847614|2009
2A|11226|43718646|2009
1B|11225|35666364|2008
2A|11223|94499498|2009
1B|11237|984776131|2009
1|11204|26289970|2009
1B|11211|47809836|2008
1C|11231|3500000|2011
1B|11203|20958600|2010
1|11218|29180076|2009
1|11239|367770643|2013
1|11207|2885065977|2008
2B|11230|127826991|2010
1|11237|2357465054|2009
3|11226|159383763|2012
2B|11232|156557763|2009
1|11226|65294752|2009
2C|11231|14517000|2010
""|11237|33269481|0
""|11208|35876709|0
1B|11229|14842850|2010
2B|11214|107231358|2010
2B|11226|11380961|2010
1|11225|97197682|2009
1B|11213|63469186|2010
2A|11224|334776550|2009
3|11201|35368715|2011
""|11214|48495814|0
2B|11203|11309922|2009
1C|11201|200394390|2010
""|11216|40439048|0
2C|11222|527158515|2011
