tax_class|zip_code|sale_price|year_of_sale
1|11208|205065488|2008
2B|11237|12686000|2008
1|11228|151235430|2009
2A|11209|30771318|2009
1C|11217|2803873252|2011
2A|11229|72105925|2009
2B|11210|20320529|2011
2B|11207|12026550|2008
""|11207|318941151|0
2B|11219|37192029|2009
1B|11231|410225994|2010
""|11205|141645899|0
1C|11215|20706733|2010
""|11210|2200000|0
2B|11218|38169035|2010
2A|11235|543212905|2009
2C|11249|31358710|2015
2A|11204|76159968|2009
1A|11222|3725000|2010
""|11232|15863010|0
2|11243|20228838|2010
1C|11222|88061478|2014
""|11212|13748808|0
2A|11213|297397421|2008
1B|11235|176846633|2010
2C|11238|7503650|2010
2C|11206|146321786|2009
""|11236|1691212634|0
2B|11228|13217049|2009
""|11209|99716582|0
2A|11232|7744976|2008
""|11249|19314621|0
2B|11208|56609905|2009
1|11233|89929090|2008
1C|11238|80427976|2011
1C|11205|789470514|2012
2B|11229|14452919|2009
2A|11214|12264234|2009
1A|11238|38944880|2013
""|11229|81497370|0
1|11224|42474179|2009
2C|11216|42982026|2012
2B|11212|20955977|2010
